produto,quantidade_produzida_kgs,valor_venda_medio,receita_total,custo_kg
feijão,77.07,23.24,1791.46,20.36
abobrinha,157.35,21.87,3441.18,9.64
alface,74.8,21.65,1619.39,2.82
feijão,123.01,13.9,1710.23,10.39
melancia,57.18,14.56,832.6,9.68
soja,155.38,22.22,3453.02,7.54
tomate,51.14,7.32,374.5,2.98
tomate,126.32,5.26,664.62,3.22
milho,152.19,10.46,1592.23,2.93
milho,88.54,5.34,473.01,4.59
milho,52.11,9.08,473.03,4.23
milho,179.83,18.29,3289.24,9.9
arroz,122.7,12.53,1537.67,7.7
arroz,56.22,18.07,1015.63,10.66
trigo,36.8,9.07,333.8,3.06
arroz,69.2,7.51,519.84,3.85
pimentão,10.4,9.02,93.81,5.98
trigo,68.94,15.65,1079.0,4.19
arroz,91.92,12.98,1193.18,11.68
cenoura,196.77,14.52,2857.23,10.57
melancia,62.81,12.53,786.87,9.47
batata,64.26,15.66,1006.14,9.85
cenoura,162.26,10.04,1629.6,4.74
morango,55.26,13.56,749.31,10.81
feijão,125.98,18.86,2376.31,16.78
cenoura,159.47,9.61,1532.7,3.26
morango,134.92,6.85,923.86,2.49
alface,8.83,20.75,183.3,3.56
morango,44.47,21.12,939.13,9.21
arroz,36.17,11.83,428.0,7.04
milho,34.1,11.49,391.76,10.38
tomate,99.52,6.71,667.88,2.07
cenoura,159.8,23.84,3809.7,12.24
melancia,2.09,10.82,22.59,2.79
abobrinha,21.6,10.87,234.79,7.29
alface,1.72,9.15,15.7,2.45
morango,147.16,24.98,3676.79,4.41
alface,34.75,7.57,263.16,2.04
soja,37.51,7.37,276.45,5.37
alface,34.87,5.89,205.36,4.63
abobrinha,35.52,19.95,708.43,3.19
melancia,150.93,22.38,3378.35,12.74
melão,38.92,15.68,610.17,2.74
morango,163.48,7.71,1261.03,6.91
arroz,30.59,24.8,758.56,14.03
abobrinha,97.0,13.53,1312.77,2.74
trigo,160.03,12.57,2011.01,6.59
melancia,189.04,11.32,2140.65,3.12
batata,143.17,8.13,1163.99,5.72
soja,86.64,24.69,2138.87,23.12
pimentão,90.09,6.65,598.89,6.1
feijão,83.67,17.74,1483.95,12.52
pimentão,183.92,20.12,3700.73,4.51
melão,147.4,20.58,3033.58,4.12
soja,42.12,22.26,937.78,5.96
pimentão,55.91,10.34,578.29,4.78
arroz,133.81,24.2,3238.68,20.24
tomate,13.71,21.31,292.09,13.92
arroz,104.77,10.39,1088.8,2.69
abobrinha,20.32,21.7,441.05,19.87
abobrinha,39.39,14.37,566.16,13.18
milho,188.09,11.83,2224.19,9.29
melão,112.96,16.76,1892.93,9.58
abobrinha,39.45,16.43,648.31,9.33
soja,14.35,15.99,229.33,11.32
arroz,184.85,15.51,2867.37,13.85
alface,24.28,15.47,375.61,6.29
melancia,10.22,7.98,81.55,6.18
morango,127.56,7.49,955.41,4.22
abobrinha,49.71,13.21,656.83,11.92
pimentão,155.61,5.17,804.65,3.13
pimentão,108.06,20.79,2246.26,6.5
melão,102.15,14.68,1499.5,10.98
cenoura,119.39,16.64,1986.13,4.82
morango,16.12,21.74,350.53,8.64
cenoura,94.59,13.82,1307.39,10.76
pimentão,176.95,10.65,1884.5,4.42
alface,189.47,22.47,4258.32,13.69
batata,30.1,10.13,304.92,5.06
melão,152.09,21.82,3318.87,5.17
melancia,3.89,5.62,21.85,2.59
cenoura,190.02,6.16,1171.1,3.41
arroz,130.07,10.32,1342.8,4.33
trigo,5.92,6.76,40.02,4.69
milho,5.66,18.85,106.72,9.64
tomate,55.6,18.17,1010.45,3.8
cenoura,138.24,9.82,1357.13,2.01
pimentão,187.01,5.42,1013.47,3.0
feijão,114.29,14.0,1600.54,8.38
cenoura,154.81,15.09,2335.61,14.56
melão,154.27,8.58,1324.1,4.43
soja,85.29,13.65,1164.1,10.82
abobrinha,73.34,21.85,1602.11,9.34
melancia,154.97,7.24,1122.16,5.9
cenoura,14.13,15.37,217.06,3.06
pimentão,115.51,7.48,864.09,3.95
cenoura,4.72,20.08,94.79,18.73
feijão,118.64,17.37,2060.69,3.04
morango,112.24,14.29,1604.03,8.58
tomate,63.48,6.35,403.38,3.05
milho,141.23,17.74,2505.54,12.3
alface,197.14,12.44,2452.16,10.6
melancia,109.1,8.05,878.27,5.84
alface,157.37,14.39,2264.47,11.39
tomate,187.72,23.92,4490.62,16.22
batata,50.04,10.2,510.23,3.28
arroz,30.56,15.33,468.4,10.9
alface,120.73,20.34,2455.16,19.49
soja,178.45,7.72,1377.11,3.82
arroz,23.14,18.43,426.46,4.95
alface,7.27,5.5,39.96,3.65
arroz,174.52,15.34,2677.18,8.64
abacaxi,156.07,16.95,2645.22,7.82
milho,161.33,5.02,809.22,2.8
milho,11.63,20.24,235.45,14.45
arroz,186.64,7.09,1322.82,5.11
abobrinha,64.84,9.34,605.3,3.78
pimentão,59.0,10.67,629.39,7.92
milho,145.58,16.22,2361.75,2.15
milho,57.5,19.37,1114.01,14.62
morango,75.12,14.31,1075.05,6.93
melão,108.86,17.01,1851.58,6.27
feijão,42.01,14.48,608.48,12.38
arroz,137.45,24.0,3299.03,3.6
soja,165.51,16.2,2680.9,13.28
arroz,9.14,17.97,164.26,16.88
feijão,41.19,5.47,225.47,2.79
cenoura,78.8,21.52,1696.05,15.04
melão,85.31,21.97,1874.18,13.1
feijão,100.35,5.96,598.43,2.71
arroz,32.41,24.28,786.8,17.26
abacaxi,64.03,16.61,1063.18,3.62
feijão,41.13,15.07,619.71,13.16
alface,30.44,16.88,513.61,11.52
melancia,21.02,11.45,240.73,8.69
morango,74.15,21.35,1582.97,17.06
arroz,29.8,13.57,404.35,2.33
melancia,136.64,5.25,716.76,3.06
trigo,41.04,5.26,215.67,3.49
abobrinha,152.28,18.38,2798.92,13.54
alface,197.43,15.04,2968.69,8.24
melão,14.98,11.11,166.42,6.37
tomate,170.96,19.43,3321.52,7.37
cenoura,87.97,10.03,882.42,7.82
trigo,53.36,13.33,711.6,2.34
morango,22.91,14.28,327.28,3.55
feijão,147.97,8.88,1313.36,4.38
batata,56.47,15.98,902.22,7.86
feijão,198.54,12.06,2394.98,8.22
feijão,189.21,8.9,1683.46,4.69
soja,70.05,6.92,484.97,4.46
melancia,67.56,16.7,1128.27,7.99
abobrinha,43.22,8.33,360.0,2.11
feijão,19.65,8.59,168.77,5.87
abobrinha,187.75,19.15,3595.31,8.26
morango,45.83,6.27,287.52,3.02
morango,74.25,24.39,1810.63,2.67
cenoura,107.12,5.03,539.15,4.39
morango,70.56,23.59,1664.69,21.43
pimentão,79.85,13.91,1110.69,2.07
feijão,158.18,22.1,3495.9,18.76
pimentão,147.93,5.5,813.69,3.92
melancia,128.34,23.62,3031.48,12.23
abobrinha,20.27,21.83,442.45,13.4
soja,191.63,11.84,2268.47,11.15
tomate,84.95,14.63,1242.72,5.31
pimentão,66.68,18.77,1251.54,4.47
abacaxi,112.69,19.0,2140.56,12.25
feijão,156.41,18.99,2970.94,4.25
melão,54.11,19.21,1039.41,15.5
batata,189.47,18.32,3471.75,11.94
cenoura,60.8,17.88,1086.95,5.85
melão,131.93,9.0,1187.62,7.08
cenoura,54.3,18.79,1020.19,15.21
tomate,137.15,7.18,984.26,4.75
melão,21.84,8.38,183.05,4.7
cenoura,42.68,9.09,387.74,6.33
trigo,139.24,20.08,2796.05,17.52
cenoura,65.22,14.67,957.06,6.85
alface,158.06,24.09,3807.48,2.22
abobrinha,34.63,10.43,361.13,5.89
soja,62.95,16.23,1021.79,4.43
melancia,70.98,12.79,907.7,12.07
arroz,55.63,21.24,1181.5,4.09
batata,123.45,20.36,2512.84,2.37
abobrinha,157.91,15.54,2453.75,2.83
tomate,7.02,22.43,157.48,5.01
melancia,112.48,12.68,1426.47,4.55
milho,101.36,10.55,1068.91,6.5
cenoura,2.75,6.54,17.99,5.7
trigo,105.3,8.49,894.29,5.96
morango,178.16,18.4,3278.64,7.41
cenoura,112.04,11.66,1306.07,3.6
morango,91.76,12.94,1187.3,4.67
alface,138.16,24.27,3352.47,16.14
alface,27.45,24.43,670.53,11.53
melancia,115.71,8.09,935.67,2.17
trigo,67.16,11.16,749.26,9.44
milho,196.89,5.4,1063.23,3.34
abobrinha,122.14,18.49,2258.61,7.42
morango,131.62,21.57,2839.59,9.66
feijão,81.67,8.84,722.17,6.39
arroz,58.81,5.49,322.86,4.72
pimentão,139.73,9.21,1286.74,8.4
cenoura,63.62,14.56,925.96,10.1
pimentão,53.05,22.52,1194.79,12.29
arroz,16.94,21.45,363.26,15.39
feijão,119.79,23.33,2794.58,9.8
soja,73.73,5.83,430.18,2.29
batata,51.76,11.97,619.7,9.33
arroz,149.64,14.78,2212.11,12.74
arroz,115.03,21.88,2516.92,11.22
arroz,182.46,11.7,2134.01,5.28
cenoura,149.53,10.92,1632.45,6.81
arroz,144.71,19.91,2880.47,11.29
batata,90.47,20.19,1826.46,16.77
abacaxi,38.52,15.39,592.72,2.22
soja,75.14,20.88,1568.88,5.15
alface,185.22,19.15,3546.06,11.56
trigo,115.29,6.45,743.67,4.54
melancia,50.49,8.81,444.96,6.45
arroz,169.14,17.4,2943.82,15.43
abobrinha,148.9,5.89,877.33,2.95
milho,180.95,8.85,1600.65,7.17
tomate,176.47,15.08,2660.38,5.29
soja,153.39,8.39,1287.5,4.92
melancia,159.69,7.07,1128.74,3.83
melancia,124.88,7.06,881.26,2.7
tomate,159.77,6.58,1052.02,2.36
milho,87.11,12.08,1052.43,6.74
batata,117.51,20.82,2446.5,18.33
soja,8.14,13.87,112.87,5.68
feijão,163.95,7.79,1277.6,4.16
arroz,33.64,17.6,591.99,15.3
cenoura,149.83,24.01,3597.89,17.67
trigo,84.08,13.6,1143.26,6.76
abobrinha,34.51,13.63,470.42,6.32
milho,3.16,18.76,59.25,15.94
abacaxi,173.52,17.81,3089.65,16.77
morango,130.04,18.95,2464.73,16.55
abacaxi,147.55,20.41,3010.96,18.91
pimentão,82.66,19.13,1581.29,10.67
arroz,139.04,14.47,2012.42,5.63
feijão,87.44,6.67,583.49,5.41
melancia,117.53,18.73,2201.85,5.48
cenoura,183.69,11.69,2146.92,10.47
tomate,96.86,17.4,1685.69,2.65
milho,112.6,11.16,1256.89,5.63
feijão,3.93,23.06,90.57,16.19
milho,193.32,22.26,4303.06,7.78
melão,109.71,24.51,2688.91,22.48
tomate,20.03,17.24,345.26,2.26
arroz,100.05,12.91,1291.23,9.86
feijão,68.73,21.15,1453.92,10.66
feijão,87.25,8.07,703.77,6.95
milho,134.47,6.65,893.54,3.26
abobrinha,81.85,23.42,1917.05,15.58
arroz,109.15,8.75,955.26,7.7
morango,182.67,15.46,2823.64,9.41
abobrinha,41.99,9.27,389.4,2.6
milho,123.35,19.54,2409.79,12.4
batata,94.99,24.73,2348.99,2.89
feijão,43.49,17.82,775.11,5.6
abobrinha,177.85,23.04,4097.88,6.62
feijão,148.42,23.84,3539.0,5.63
soja,164.08,24.12,3958.2,9.57
abacaxi,36.29,22.77,826.09,17.74
soja,105.26,10.92,1149.47,8.77
abacaxi,66.36,7.89,523.29,6.35
trigo,169.66,20.77,3524.26,12.34
abobrinha,63.53,9.72,617.69,6.62
melancia,71.9,22.24,1598.8,17.95
morango,138.2,23.42,3236.33,2.35
trigo,53.0,23.08,1223.18,11.12
batata,133.99,10.42,1395.87,7.12
batata,163.5,12.48,2040.95,4.74
trigo,198.07,12.28,2432.42,4.71
soja,133.61,19.17,2561.7,8.41
morango,107.13,22.18,2375.74,10.81
arroz,66.15,5.98,395.83,5.35
pimentão,118.55,7.8,925.21,2.02
melão,161.71,21.47,3472.54,9.44
abacaxi,91.65,21.5,1970.92,8.37
soja,67.82,5.27,357.21,4.48
cenoura,74.76,18.4,1375.81,14.62
trigo,10.1,20.66,208.67,5.8
melancia,31.09,15.19,472.14,7.67
tomate,1.1,23.42,25.69,17.11
cenoura,101.57,21.97,2231.73,6.64
feijão,157.59,22.5,3545.49,18.82
milho,5.6,14.03,78.63,4.0
abobrinha,197.46,15.81,3121.98,5.13
morango,92.21,8.57,789.96,7.8
morango,104.31,24.76,2582.75,12.19
abacaxi,69.67,16.36,1140.0,6.6
abobrinha,54.66,22.03,1204.16,12.93
abacaxi,120.82,22.31,2695.54,6.16
milho,66.53,5.8,385.81,2.17
alface,19.3,10.07,194.36,8.48
melancia,192.0,20.84,4001.57,8.88
milho,140.79,10.62,1494.99,7.32
abacaxi,184.99,12.78,2363.42,3.45
soja,20.66,14.36,296.68,12.11
tomate,77.5,24.6,1906.7,3.65
abacaxi,8.35,6.35,53.05,2.36
pimentão,42.3,6.62,279.86,2.19
pimentão,14.21,10.2,144.96,6.18
melão,112.08,12.93,1449.45,7.78
milho,90.85,24.53,2228.16,17.2
cenoura,64.71,16.61,1075.09,9.0
pimentão,36.42,24.19,881.14,7.79
arroz,154.83,8.26,1279.53,4.52
arroz,169.94,8.38,1424.81,7.7
soja,127.88,15.79,2019.12,15.09
trigo,181.77,6.74,1225.58,3.43
milho,99.5,18.32,1822.75,14.74
melancia,49.19,6.91,339.66,5.86
arroz,58.87,11.26,663.04,7.49
cenoura,103.46,16.73,1730.97,12.13
alface,71.51,11.09,793.09,5.59
alface,12.5,22.18,277.29,5.67
abobrinha,62.1,12.41,770.7,4.95
tomate,96.03,23.54,2260.37,10.71
milho,123.73,5.41,669.59,4.27
tomate,66.14,9.75,644.87,2.78
tomate,21.79,13.39,291.74,8.0
soja,94.41,5.83,550.43,4.87
tomate,181.99,9.04,1646.09,7.55
abobrinha,152.3,22.86,3481.99,15.29
arroz,182.41,20.06,3659.42,4.98
morango,35.59,12.22,434.93,11.69
cenoura,193.11,22.79,4401.35,15.9
pimentão,24.71,11.5,284.08,2.29
melão,133.8,12.25,1639.47,4.42
milho,145.02,10.78,1563.03,9.71
abobrinha,28.46,17.14,487.8,12.78
milho,37.59,23.24,873.5,21.63
soja,78.56,15.95,1252.65,6.93
morango,63.09,19.67,1241.21,17.04
abobrinha,71.66,6.79,486.4,5.88
pimentão,11.12,20.5,227.86,16.63
morango,97.53,12.87,1255.49,9.31
cenoura,23.36,6.23,145.45,3.98
soja,140.67,16.88,2374.62,9.96
abobrinha,142.06,7.68,1091.08,2.79
tomate,14.51,21.18,307.25,3.57
morango,32.75,12.8,419.18,4.5
arroz,22.49,6.5,146.22,4.29
abobrinha,170.21,11.2,1906.37,6.74
cenoura,20.92,12.41,259.66,2.07
milho,66.42,20.5,1361.33,14.99
alface,87.78,20.45,1795.18,11.36
pimentão,108.69,11.59,1259.99,9.65
cenoura,32.0,12.94,414.03,8.4
pimentão,41.16,16.17,665.63,9.47
soja,77.31,16.68,1289.58,10.44
tomate,20.8,6.86,142.68,6.0
cenoura,29.42,9.45,278.07,2.45
arroz,49.62,5.29,262.3,2.8
alface,10.67,6.83,72.89,2.49
pimentão,132.14,17.9,2365.81,3.0
milho,36.49,15.68,572.05,14.89
pimentão,81.15,16.07,1303.84,13.99
abobrinha,42.47,15.03,638.46,3.47
trigo,167.64,8.58,1438.86,6.28
morango,128.68,20.06,2580.75,3.77
feijão,89.76,9.84,883.5,4.11
arroz,101.29,23.7,2400.44,7.71
cenoura,1.61,13.3,21.4,7.73
feijão,109.58,15.9,1742.53,6.78
arroz,111.39,8.87,988.28,5.44
melão,180.53,12.55,2266.17,3.83
trigo,79.39,5.16,409.42,2.41
cenoura,140.18,14.3,2005.21,10.19
morango,100.28,16.6,1664.25,3.21
trigo,94.14,7.04,662.94,3.77
abobrinha,167.04,22.46,3751.22,12.73
batata,87.54,21.4,1873.06,19.21
alface,80.62,13.25,1067.9,11.37
trigo,106.74,19.24,2053.47,13.62
arroz,58.03,18.28,1061.0,4.02
trigo,57.19,8.91,509.75,3.67
milho,157.0,14.86,2332.94,8.73
cenoura,151.68,9.42,1428.97,2.77
milho,88.96,19.8,1761.18,7.01
melancia,142.95,16.26,2324.49,7.22
feijão,82.82,12.63,1046.32,7.37
abacaxi,134.24,7.15,960.42,6.0
morango,23.07,21.64,499.12,4.58
trigo,121.22,6.6,799.56,3.94
cenoura,39.39,8.98,353.69,6.38
abobrinha,181.87,20.57,3740.77,16.1
arroz,137.77,24.1,3320.68,10.01
morango,149.44,16.67,2490.49,12.87
melancia,177.95,9.95,1769.92,2.14
abacaxi,134.61,14.04,1890.61,7.01
morango,114.62,16.03,1837.55,8.28
milho,49.89,23.63,1178.76,16.16
feijão,137.64,21.37,2941.44,19.73
abacaxi,68.07,21.7,1477.2,13.09
cenoura,38.96,16.55,644.7,3.75
batata,92.22,13.45,1240.64,10.22
melancia,64.75,6.7,433.55,2.77
melão,69.31,9.39,650.53,7.27
alface,172.4,18.77,3235.25,17.73
melancia,188.94,16.06,3034.87,2.77
morango,102.65,24.11,2474.4,12.86
batata,140.59,15.0,2109.46,4.74
milho,45.93,8.03,369.03,5.01
melão,168.6,18.31,3086.97,6.94
batata,124.14,13.84,1717.68,9.66
cenoura,35.94,18.47,663.91,12.78
cenoura,63.76,21.36,1361.88,13.8
trigo,5.45,12.55,68.34,11.14
melancia,130.33,24.63,3210.09,12.76
morango,44.58,16.71,744.9,11.12
soja,112.96,6.82,770.57,5.42
alface,55.38,23.22,1286.12,17.28
trigo,157.12,8.15,1280.06,3.28
milho,133.07,8.28,1102.15,3.53
arroz,68.48,11.55,790.59,4.2
melancia,85.1,21.5,1829.85,14.44
cenoura,96.61,7.79,752.75,5.43
morango,131.58,15.24,2004.74,3.05
melancia,21.95,22.43,492.27,15.81
cenoura,104.66,10.81,1131.62,7.67
abacaxi,46.88,23.04,1080.12,14.08
batata,177.37,16.77,2975.23,10.11
abobrinha,163.7,20.5,3356.1,8.11
batata,138.93,15.97,2218.49,13.72
morango,43.61,15.8,689.11,2.56
abacaxi,9.23,18.38,169.74,12.84
feijão,2.25,16.76,37.66,5.93
batata,111.89,8.02,897.71,3.04
feijão,162.38,19.44,3157.0,17.37
soja,5.06,10.47,53.01,3.78
batata,94.57,6.85,647.91,2.06
arroz,103.94,19.28,2003.57,10.0
alface,124.43,22.71,2826.22,5.24
arroz,152.17,18.73,2849.57,4.35
milho,61.5,17.69,1088.01,5.76
abacaxi,146.37,6.57,962.08,4.61
milho,84.67,6.42,543.19,4.31
trigo,163.86,17.08,2798.87,14.51
pimentão,124.04,7.95,986.38,4.25
melão,90.31,16.69,1506.99,2.58
pimentão,49.08,17.18,843.11,9.29
abobrinha,110.25,14.49,1597.55,4.58
morango,179.73,23.67,4253.42,14.77
melancia,136.1,19.14,2604.91,11.2
batata,119.38,10.19,1215.92,4.57
tomate,192.22,8.15,1566.97,6.76
tomate,48.89,15.85,774.72,7.09
cenoura,68.5,7.79,533.94,4.91
cenoura,88.29,14.72,1300.05,2.92
feijão,159.16,14.66,2333.19,7.1
arroz,137.71,11.1,1528.88,5.14
arroz,7.97,21.25,169.26,16.57
soja,122.7,23.2,2846.91,14.08
morango,34.9,20.18,704.19,10.56
pimentão,90.63,7.66,694.25,2.14
batata,32.09,20.65,662.58,14.27
trigo,148.8,18.21,2709.82,4.08
cenoura,21.68,12.29,266.61,9.88
batata,132.93,24.43,3247.77,22.57
soja,126.79,18.95,2402.57,18.35
trigo,11.11,9.98,110.84,5.98
batata,145.65,5.67,825.19,2.28
abacaxi,100.38,17.33,1739.36,4.56
milho,99.71,9.17,913.88,5.3
milho,179.93,6.02,1082.46,4.21
arroz,50.63,9.55,483.62,6.03
feijão,174.69,23.62,4126.83,18.87
morango,166.25,24.49,4071.31,16.04
feijão,91.53,19.27,1764.16,17.93
batata,18.85,17.59,331.54,4.06
alface,108.84,10.29,1119.4,2.07
alface,150.83,13.59,2049.93,4.98
milho,94.91,14.65,1390.16,11.05
cenoura,150.26,15.94,2395.51,10.38
pimentão,145.58,18.21,2651.5,16.01
trigo,38.71,15.99,619.05,7.62
milho,178.38,24.18,4313.71,9.19
pimentão,93.53,18.12,1694.9,13.72
alface,49.87,9.57,477.26,8.42
pimentão,25.43,24.41,620.93,8.94
melão,12.26,21.28,260.88,9.9
milho,86.59,9.12,789.57,3.85
arroz,50.18,15.79,792.54,2.37
abobrinha,40.07,21.67,868.33,7.76
abobrinha,78.13,15.59,1217.68,7.01
cenoura,88.06,19.54,1720.39,8.69
milho,28.41,14.96,424.95,7.32
tomate,157.15,10.61,1667.49,7.02
pimentão,154.58,7.92,1223.91,6.51
cenoura,102.12,15.12,1543.95,8.96
arroz,85.05,15.59,1326.28,13.38
melão,20.11,16.37,329.15,3.08
feijão,29.24,24.81,725.58,16.52
melão,189.6,5.44,1031.06,2.12
pimentão,191.61,24.16,4629.07,22.43
melancia,88.48,18.62,1647.33,5.63
cenoura,63.45,23.3,1478.24,18.45
batata,47.62,19.39,923.36,7.47
milho,140.5,7.75,1089.17,3.12
batata,14.64,24.01,351.56,22.85
batata,134.03,7.42,994.34,6.01
cenoura,191.05,18.05,3448.87,6.79
abobrinha,138.63,16.72,2317.81,11.99
trigo,98.26,14.93,1466.69,4.57
tomate,154.08,24.89,3834.76,12.75
melão,119.01,10.56,1257.29,7.78
melão,175.78,21.04,3698.76,13.76
abacaxi,105.96,14.82,1570.03,6.87
alface,112.75,6.46,728.9,3.96
trigo,38.62,12.63,487.89,3.75
tomate,155.67,22.57,3514.02,2.26
pimentão,173.7,18.33,3184.28,10.11
trigo,118.39,22.48,2661.85,20.0
feijão,90.76,5.77,523.89,3.05
pimentão,140.25,8.73,1224.14,6.69
melancia,65.34,19.53,1275.76,5.06
milho,44.61,16.5,736.26,4.95
abacaxi,135.01,15.78,2131.06,3.13
soja,113.74,21.83,2483.05,3.8
milho,66.62,19.44,1295.32,17.27
melancia,37.59,12.47,468.8,5.73
melão,23.81,12.03,286.56,8.44
cenoura,96.54,12.59,1215.43,5.62
melancia,25.68,19.79,508.25,5.33
milho,111.66,15.9,1775.69,3.39
melancia,33.41,15.73,525.61,12.55
tomate,80.8,9.44,762.53,8.12
abobrinha,179.24,14.69,2632.54,7.82
melão,12.83,22.68,290.88,9.54
abacaxi,1.8,16.61,29.97,9.85
batata,198.59,13.31,2642.26,7.05
trigo,30.69,5.99,183.88,4.19
cenoura,13.29,16.39,217.78,13.77
pimentão,11.95,23.0,274.84,11.61
melancia,17.9,11.75,210.24,2.63
morango,30.78,17.74,546.07,6.22
melão,29.13,22.98,669.3,6.92
abobrinha,126.03,12.94,1631.28,5.61
trigo,126.91,21.61,2742.75,15.75
alface,94.24,14.46,1362.33,4.86
abobrinha,53.66,15.84,850.24,7.29
morango,72.28,18.28,1321.09,14.82
pimentão,73.13,8.25,603.47,7.29
trigo,133.75,17.3,2313.85,10.5
batata,117.22,14.77,1731.86,6.44
batata,168.76,15.1,2548.6,11.63
melancia,133.74,21.62,2890.9,4.23
abacaxi,76.43,13.78,1053.52,12.04
abacaxi,192.8,23.35,4501.32,19.42
milho,51.23,22.81,1168.65,15.47
cenoura,67.13,21.85,1466.56,21.29
feijão,93.32,21.19,1977.54,12.11
soja,135.56,23.26,3153.28,8.34
arroz,102.75,7.43,763.5,5.83
batata,51.1,23.47,1199.05,2.67
abobrinha,94.41,15.31,1445.61,6.08
alface,161.91,13.94,2257.18,11.66
abacaxi,146.61,8.75,1282.73,2.44
batata,56.02,16.07,900.02,12.39
feijão,139.9,9.85,1377.67,7.82
batata,124.19,9.59,1190.99,5.65
melão,149.07,8.17,1217.68,3.5
milho,106.93,23.88,2553.57,2.23
alface,12.79,15.71,200.85,12.38
trigo,114.35,21.03,2404.67,16.79
arroz,93.3,18.93,1766.44,14.29
abobrinha,186.78,18.05,3371.25,4.11
soja,102.82,24.42,2510.64,6.89
pimentão,93.0,7.94,738.38,2.53
morango,173.25,8.98,1555.09,5.19
abobrinha,150.61,5.45,820.95,3.39
abobrinha,187.19,8.56,1603.16,4.45
batata,132.33,16.72,2213.07,12.43
melão,73.43,15.29,1122.75,8.38
batata,10.45,18.05,188.67,4.45
feijão,87.2,21.65,1887.84,3.72
pimentão,153.74,13.61,2092.51,7.98
tomate,107.11,5.43,581.43,4.5
cenoura,198.6,24.83,4930.23,3.2
milho,73.47,15.76,1157.63,4.26
morango,30.68,18.99,582.54,4.25
abacaxi,175.09,23.71,4151.67,8.59
abacaxi,70.92,20.75,1471.15,4.0
batata,24.16,6.86,165.65,3.91
trigo,90.73,14.14,1282.79,3.66
tomate,139.31,21.52,2998.68,12.84
batata,95.2,19.25,1833.01,9.37
morango,173.25,23.04,3991.84,9.42
pimentão,87.68,22.68,1988.22,21.88
feijão,17.08,7.19,122.87,4.12
melão,103.83,22.75,2362.22,17.47
milho,67.73,6.9,467.19,5.79
soja,21.37,23.69,506.32,15.05
morango,64.75,16.11,1043.32,2.88
tomate,60.76,24.77,1504.8,2.42
tomate,144.19,16.34,2356.39,9.5
abacaxi,168.58,5.26,887.53,3.45
trigo,76.86,20.22,1553.95,7.32
soja,188.46,21.25,4004.75,15.6
abobrinha,98.28,18.12,1780.81,17.61
pimentão,108.46,12.08,1310.32,4.8
melão,102.69,13.6,1396.26,10.52
abobrinha,126.08,12.8,1613.32,2.13
trigo,13.37,10.84,144.87,9.27
batata,50.46,21.37,1078.42,18.94
melancia,139.25,12.7,1768.67,11.97
trigo,134.11,13.13,1761.04,8.43
tomate,108.0,8.49,916.59,6.5
pimentão,52.12,8.07,420.77,3.23
melancia,153.11,13.88,2125.54,7.54
melão,167.67,6.49,1087.49,3.64
arroz,116.4,20.35,2368.69,19.34
pimentão,46.13,22.6,1042.42,10.44
arroz,34.37,15.52,533.24,14.25
tomate,66.59,17.27,1150.19,3.92
cenoura,23.1,10.64,245.74,6.19
feijão,189.83,12.49,2371.81,7.54
pimentão,133.15,18.99,2528.07,8.16
feijão,64.12,12.57,805.82,10.58
feijão,107.0,14.06,1504.03,6.96
alface,43.74,15.36,672.12,8.86
abobrinha,124.27,6.28,780.88,3.57
melão,36.21,20.84,754.72,20.34
abacaxi,11.08,5.36,59.34,3.0
melancia,57.78,10.39,600.17,9.62
batata,87.32,21.18,1849.22,15.91
melão,16.92,22.78,385.44,7.39
trigo,58.07,12.31,714.62,8.96
melancia,89.18,15.31,1365.18,5.4
abacaxi,145.15,8.63,1252.53,5.99
pimentão,5.72,9.56,54.66,6.56
milho,64.82,9.54,618.07,5.0
soja,197.83,24.68,4883.07,6.47
melão,114.43,8.9,1018.73,4.85
alface,153.97,6.34,976.42,3.31
abacaxi,30.53,24.98,762.77,6.44
arroz,196.47,23.46,4609.24,10.37
abacaxi,144.61,21.97,3177.47,9.0
soja,60.05,6.7,402.59,4.85
melão,17.8,13.39,238.33,5.34
morango,80.55,24.58,1979.62,15.39
milho,91.61,13.51,1237.48,12.29
feijão,28.11,17.97,505.26,5.06
milho,69.3,9.64,668.25,7.94
trigo,49.82,22.94,1142.79,17.02
milho,103.77,7.24,751.26,3.69
trigo,152.1,21.06,3203.51,2.61
soja,174.96,5.21,911.0,3.77
melancia,111.48,12.12,1351.37,5.36
batata,8.07,17.92,144.6,14.97
soja,95.05,24.29,2309.12,3.33
melão,39.31,24.28,954.39,5.16
arroz,47.47,15.63,742.04,12.43
abobrinha,36.53,13.87,506.68,6.42
melão,175.19,17.85,3126.52,8.76
abacaxi,163.81,8.56,1401.67,4.52
batata,74.03,22.9,1695.02,12.8
tomate,93.7,11.53,1080.05,5.8
morango,39.41,9.28,365.71,5.21
morango,5.25,10.03,52.69,4.27
arroz,163.44,5.62,918.61,4.95
pimentão,16.58,18.79,311.56,6.45
cenoura,158.22,7.35,1162.43,4.61
abobrinha,192.0,10.77,2067.77,9.13
morango,133.09,14.73,1960.16,3.01
arroz,173.57,12.91,2240.64,9.98
melancia,163.44,10.07,1645.87,3.35
pimentão,5.41,5.48,29.61,4.12
batata,111.31,20.23,2251.31,9.77
soja,125.17,10.35,1295.3,2.65
arroz,167.39,19.56,3274.73,14.36
